,Regresión logistica(%),Decision Tree(%),SVM_Lin(%),Ensemble(%),Random_Forest(%),Ada Boosting(%),Gradient Boosting(%),XG Boosting(%)
Accuracy_train,51.98771368866285,58.55887610463506,48.880888239885195,82.92756615221934,76.42186359173192,51.28024371207734,66.26551524459326,81.55290918703895
Accuracy_test,51.161621241074116,48.82832143216333,48.174595192597806,53.37423312883436,55.59690234335714,49.622850246404504,55.828220858895705,55.66730363069497
